building,name,addr:housenumber,addr:street,height,geometry,city
yes,,212,Brooksbank Avenue,,"POLYGON ((-123.040237 49.307806, -123.039679 49.307806, -123.03968 49.307453, -123.039764 49.307453, -123.039764 49.307288, -123.040168 49.307288, -123.040168 49.30747, -123.040238 49.30747, -123.040237 49.307582, -123.040237 49.307622, -123.040237 49.307806))","City of North Vancouver, British Columbia, Canada"
yes,,1001,Low Level Road,,"POLYGON ((-123.049877 49.3045, -123.049413 49.304076, -123.047088 49.305157, -123.047552 49.305582, -123.049877 49.3045))","City of North Vancouver, British Columbia, Canada"
yes,,1001,Low Level Road,,"POLYGON ((-123.050496 49.305043, -123.049958 49.304572, -123.045891 49.306544, -123.046428 49.307015, -123.050496 49.305043))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.038986 49.298781, -123.037475 49.298578, -123.036967 49.30018, -123.037165 49.300206, -123.037144 49.300273, -123.038457 49.30045, -123.038986 49.298781))","City of North Vancouver, British Columbia, Canada"
yes,,440,Hendry Avenue,,"POLYGON ((-123.051793 49.310344, -123.051601 49.310518, -123.051588 49.310511, -123.051471 49.310618, -123.051331 49.310552, -123.051431 49.310461, -123.051377 49.310436, -123.051414 49.310402, -123.051396 49.310394, -123.05139 49.3104, -123.051375 49.310393, -123.050982 49.31075, -123.051024 49.310769, -123.050952 49.310834, -123.050766 49.310747, -123.050835 49.310685, -123.050762 49.310651, -123.051161 49.310288, -123.051173 49.310294, -123.051279 49.310198, -123.05132 49.310217, -123.051349 49.31019, -123.051541 49.31028, -123.051514 49.310304, -123.05155 49.310322, -123.051617 49.310262, -123.051793 49.310344))","City of North Vancouver, British Columbia, Canada"
retail,Capilano Mall,935,Marine Drive,,"POLYGON ((-123.101877 49.321652, -123.101536 49.322063, -123.101339 49.321996, -123.101013 49.322399, -123.100964 49.322381, -123.100858 49.322343, -123.100524 49.322735, -123.10006 49.322863, -123.099373 49.322634, -123.099392 49.32261, -123.099442 49.322545, -123.098721 49.322271, -123.098706 49.322265, -123.098455 49.32217, -123.098404 49.322136, -123.098395 49.322063, -123.099202 49.321073, -123.099414 49.321143, -123.099451 49.321068, -123.09939 49.321045, -123.099648 49.320732, -123.099717 49.320766, -123.099958 49.320462, -123.100034 49.32038, -123.10018 49.32043, -123.100163 49.32048, -123.100575 49.320626, -123.100575 49.320676, -123.101168 49.320873, -123.10145 49.320978, -123.101339 49.321101, -123.101588 49.321185, -123.101354 49.321477, -123.101877 49.321652))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.04035 49.306771, -123.04017 49.306771, -123.04017 49.306793, -123.039818 49.306793, -123.039818 49.306681, -123.039912 49.306676, -123.039922 49.306384, -123.039922 49.306228, -123.039922 49.306194, -123.040334 49.3063, -123.040334 49.30634, -123.040454 49.30634, -123.040454 49.306435, -123.040345 49.306434, -123.04035 49.306771))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.047483 49.307344, -123.047051 49.307278, -123.04708 49.307196, -123.047105 49.307125, -123.047538 49.30719, -123.047512 49.307262, -123.047483 49.307344))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.042005 49.300373, -123.041809 49.300308, -123.041451 49.300759, -123.041647 49.300825, -123.042005 49.300373))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.041546 49.301255, -123.041384 49.301201, -123.041377 49.301211, -123.041356 49.301204, -123.041344 49.301219, -123.041329 49.301215, -123.041138 49.30146, -123.041368 49.301536, -123.041505 49.30136, -123.041554 49.301298, -123.041533 49.301291, -123.041549 49.30127, -123.041537 49.301266, -123.041546 49.301255))","City of North Vancouver, British Columbia, Canada"
