building,name,addr:housenumber,addr:street,height,geometry,city
yes,,,,,"POLYGON ((-123.06532 49.316385, -123.065317 49.316284, -123.065215 49.316285, -123.065218 49.316355, -123.065238 49.316355, -123.065239 49.316386, -123.06532 49.316385))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.063808 49.316574, -123.063812 49.316431, -123.063752 49.31643, -123.063752 49.316449, -123.063665 49.316448, -123.063662 49.316591, -123.063731 49.316593, -123.06373 49.316575, -123.063808 49.316574))","City of North Vancouver, British Columbia, Canada"
yes,,345,East 10th Street,,"POLYGON ((-123.064184 49.316591, -123.064186 49.316457, -123.06415 49.316457, -123.06415 49.316425, -123.064075 49.316424, -123.064073 49.316591, -123.064184 49.316591))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.065417 49.316335, -123.065414 49.316283, -123.065326 49.316284, -123.065329 49.31634, -123.065339 49.31634, -123.065343 49.316366, -123.065405 49.316366, -123.065406 49.316335, -123.065417 49.316335))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.063623 49.31619, -123.063623 49.316127, -123.063514 49.316127, -123.063514 49.316188, -123.063538 49.316188, -123.063537 49.316225, -123.063614 49.316225, -123.063614 49.31619, -123.063623 49.31619))","City of North Vancouver, British Columbia, Canada"
yes,,359,East 10th Street,,"POLYGON ((-123.063627 49.316585, -123.063629 49.316481, -123.063421 49.316479, -123.063418 49.316583, -123.063627 49.316585))","City of North Vancouver, British Columbia, Canada"
yes,,333,East 10th Street,,"POLYGON ((-123.064842 49.316596, -123.064842 49.316472, -123.064698 49.316472, -123.064698 49.316615, -123.064786 49.316615, -123.064786 49.316596, -123.064842 49.316596))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064994 49.316196, -123.064992 49.316134, -123.064928 49.316134, -123.06493 49.316196, -123.064994 49.316196))","City of North Vancouver, British Columbia, Canada"
yes,,337,East 10th Street,,"POLYGON ((-123.064607 49.316612, -123.064604 49.316467, -123.064494 49.316468, -123.064497 49.316613, -123.064607 49.316612))","City of North Vancouver, British Columbia, Canada"
yes,,325,East 10th Street,,"POLYGON ((-123.065658 49.316477, -123.06554 49.316477, -123.065539 49.316632, -123.065657 49.316633, -123.065658 49.316477))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.06481 49.316205, -123.064808 49.316131, -123.064698 49.316133, -123.0647 49.316206, -123.06481 49.316205))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064805 49.316359, -123.064805 49.31628, -123.064687 49.31628, -123.064688 49.316359, -123.064805 49.316359))","City of North Vancouver, British Columbia, Canada"
yes,,331,East 10th Street,,"POLYGON ((-123.065071 49.316586, -123.065073 49.316507, -123.065059 49.316507, -123.065059 49.3165, -123.065045 49.3165, -123.065043 49.316458, -123.064959 49.316457, -123.064955 49.316472, -123.064931 49.316475, -123.064927 49.316506, -123.064918 49.316506, -123.064919 49.316597, -123.064998 49.316598, -123.064997 49.316586, -123.065071 49.316586))","City of North Vancouver, British Columbia, Canada"
yes,,353,East 10th Street,,"POLYGON ((-123.064034 49.316585, -123.064039 49.316453, -123.063847 49.31645, -123.063842 49.316601, -123.063954 49.316603, -123.063955 49.316584, -123.064034 49.316585))","City of North Vancouver, British Columbia, Canada"
yes,,324,East 10th Street,,"POLYGON ((-123.065198 49.316912, -123.065109 49.316912, -123.065109 49.31705, -123.065248 49.31705, -123.065247 49.31693, -123.065198 49.31693, -123.065198 49.316912))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064328 49.317252, -123.064327 49.31719, -123.064269 49.317191, -123.064269 49.317252, -123.064328 49.317252))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.06563 49.317169, -123.065514 49.317169, -123.065514 49.317257, -123.06563 49.317257, -123.06563 49.317169))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.065302 49.316923, -123.065303 49.316866, -123.065246 49.316865, -123.065245 49.316923, -123.065302 49.316923))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064659 49.317245, -123.064659 49.31718, -123.064562 49.31718, -123.064561 49.317245, -123.064659 49.317245))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064219 49.317248, -123.064221 49.317192, -123.064173 49.317191, -123.064172 49.317247, -123.064219 49.317248))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.063456 49.317097, -123.063451 49.317193, -123.063356 49.317192, -123.06336 49.317095, -123.063456 49.317097))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.065077 49.317177, -123.064891 49.317177, -123.064891 49.31725, -123.065076 49.317251, -123.065077 49.317177))","City of North Vancouver, British Columbia, Canada"
yes,,312,East 10th Street,,"POLYGON ((-123.06568 49.317089, -123.065679 49.316931, -123.065549 49.316931, -123.06555 49.317089, -123.06568 49.317089))","City of North Vancouver, British Columbia, Canada"
yes,,358,East 10th Street,,"POLYGON ((-123.063645 49.31713, -123.063648 49.31706, -123.063672 49.31706, -123.063678 49.316911, -123.063825 49.316914, -123.063816 49.317133, -123.063645 49.31713))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.06384 49.317181, -123.063838 49.317247, -123.064028 49.317249, -123.06403 49.317183, -123.06384 49.317181))","City of North Vancouver, British Columbia, Canada"
yes,,362,East 10th Street,,"POLYGON ((-123.063642 49.316923, -123.063633 49.317076, -123.063466 49.317072, -123.063474 49.31694, -123.063542 49.316942, -123.063544 49.316921, -123.063642 49.316923))","City of North Vancouver, British Columbia, Canada"
yes,,350,East 10th Street,,"POLYGON ((-123.064037 49.317067, -123.063844 49.317064, -123.063848 49.316906, -123.063958 49.316907, -123.063958 49.316921, -123.064042 49.316922, -123.064037 49.317067))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.065949 49.317198, -123.065948 49.31727, -123.06608 49.317271, -123.066081 49.317198, -123.065949 49.317198))","City of North Vancouver, British Columbia, Canada"
yes,,336,East 10th Street,,"POLYGON ((-123.064655 49.316932, -123.06465 49.31705, -123.064566 49.317049, -123.064566 49.317016, -123.064486 49.317014, -123.06449 49.316936, -123.064558 49.316936, -123.064558 49.316929, -123.064655 49.316932))","City of North Vancouver, British Columbia, Canada"
yes,,346,East 10th Street,,"POLYGON ((-123.064233 49.316928, -123.064231 49.31704, -123.06414 49.31704, -123.064141 49.317015, -123.064063 49.317014, -123.064065 49.316936, -123.064134 49.316936, -123.064134 49.316927, -123.064233 49.316928))","City of North Vancouver, British Columbia, Canada"
yes,,308,East 10th Street,,"POLYGON ((-123.065899 49.317035, -123.0659 49.316953, -123.065851 49.316954, -123.06585 49.316938, -123.065797 49.316938, -123.065797 49.316959, -123.065744 49.31696, -123.065748 49.317061, -123.065817 49.31706, -123.065817 49.317034, -123.065899 49.317035))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.065719 49.317253, -123.065716 49.317196, -123.065648 49.317197, -123.065651 49.317254, -123.065719 49.317253))","City of North Vancouver, British Columbia, Canada"
yes,,328,East 10th Street,,"POLYGON ((-123.06509 49.317065, -123.065093 49.316928, -123.064897 49.316922, -123.0649 49.317073, -123.064943 49.317075, -123.06494 49.317084, -123.064991 49.317084, -123.064991 49.317074, -123.065038 49.317076, -123.065036 49.317065, -123.06509 49.317065))","City of North Vancouver, British Columbia, Canada"
yes,,332,East 10th Street,,"POLYGON ((-123.064876 49.316925, -123.06476 49.316926, -123.064762 49.317088, -123.064878 49.317087, -123.064876 49.316925))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064103 49.317243, -123.064104 49.317184, -123.064049 49.317184, -123.064049 49.317243, -123.064103 49.317243))","City of North Vancouver, British Columbia, Canada"
yes,,302,East 10th Street,,"POLYGON ((-123.066116 49.317135, -123.066116 49.317083, -123.066104 49.317082, -123.066109 49.316968, -123.066093 49.316969, -123.066093 49.316939, -123.065952 49.316937, -123.065945 49.317135, -123.066116 49.317135))","City of North Vancouver, British Columbia, Canada"
yes,,342,East 10th Street,,"POLYGON ((-123.064264 49.316914, -123.064258 49.317116, -123.064434 49.317117, -123.064439 49.316916, -123.064264 49.316914))","City of North Vancouver, British Columbia, Canada"
yes,,318,East 10th Street,,"POLYGON ((-123.065474 49.317062, -123.065476 49.316931, -123.065341 49.31693, -123.06534 49.317024, -123.065373 49.317025, -123.065372 49.317061, -123.065474 49.317062))","City of North Vancouver, British Columbia, Canada"
yes,,365,East 11th Street,,"POLYGON ((-123.063726 49.317648, -123.063726 49.317514, -123.063653 49.317513, -123.063653 49.317534, -123.063582 49.317533, -123.063582 49.317648, -123.063726 49.317648))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064988 49.317398, -123.064989 49.31734, -123.064801 49.317339, -123.0648 49.317397, -123.064988 49.317398))","City of North Vancouver, British Columbia, Canada"
yes,,339,East 11th Street,,"POLYGON ((-123.064567 49.317531, -123.064568 49.317662, -123.064444 49.317662, -123.064443 49.317532, -123.064567 49.317531))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.06541 49.317411, -123.065411 49.317339, -123.065231 49.317338, -123.06523 49.31741, -123.06541 49.317411))","City of North Vancouver, British Columbia, Canada"
yes,,307,East 11th Street,,"POLYGON ((-123.065815 49.317676, -123.065818 49.317586, -123.065799 49.317587, -123.065798 49.317546, -123.065727 49.317546, -123.065725 49.317571, -123.065652 49.317571, -123.06565 49.317663, -123.065717 49.317664, -123.065718 49.317675, -123.065815 49.317676))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064571 49.317417, -123.06457 49.317352, -123.064483 49.317352, -123.064483 49.317417, -123.064571 49.317417))","City of North Vancouver, British Columbia, Canada"
yes,,313,East 11th Street,,"POLYGON ((-123.065631 49.317532, -123.065626 49.317642, -123.065604 49.317642, -123.065604 49.317664, -123.065439 49.317661, -123.065445 49.317529, -123.065631 49.317532))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064589 49.317337, -123.06459 49.317399, -123.064784 49.317398, -123.064783 49.317336, -123.064589 49.317337))","City of North Vancouver, British Columbia, Canada"
yes,,319,East 11th Street,,"POLYGON ((-123.065418 49.317531, -123.06539 49.317531, -123.065389 49.317504, -123.065251 49.317501, -123.06525 49.317527, -123.065233 49.317527, -123.065233 49.317663, -123.065395 49.317664, -123.065398 49.317641, -123.06542 49.317642, -123.065418 49.317531))","City of North Vancouver, British Columbia, Canada"
yes,,333,East 11th Street,,"POLYGON ((-123.064777 49.317501, -123.064588 49.317503, -123.064593 49.317682, -123.064782 49.31768, -123.064777 49.317501))","City of North Vancouver, British Columbia, Canada"
yes,,327,East 11th Street,,"POLYGON ((-123.064996 49.317538, -123.064811 49.317537, -123.064811 49.317674, -123.064995 49.317674, -123.064996 49.317538))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.063817 49.317396, -123.06382 49.317324, -123.063958 49.317326, -123.063956 49.317398, -123.063817 49.317396))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064125 49.317415, -123.064128 49.317348, -123.064028 49.317347, -123.064026 49.317414, -123.064125 49.317415))","City of North Vancouver, British Columbia, Canada"
yes,,349,East 11th Street,,"POLYGON ((-123.06409 49.317527, -123.064085 49.317652, -123.063969 49.31765, -123.063974 49.317525, -123.06409 49.317527))","City of North Vancouver, British Columbia, Canada"
yes,,303,East 11th Street,,"POLYGON ((-123.066028 49.31752, -123.065886 49.317518, -123.065881 49.31768, -123.06599 49.317681, -123.065991 49.317639, -123.066024 49.31764, -123.066028 49.31752))","City of North Vancouver, British Columbia, Canada"
yes,,355,East 11th Street,,"POLYGON ((-123.063943 49.317637, -123.063947 49.31751, -123.06388 49.31751, -123.06388 49.317524, -123.063763 49.317523, -123.063764 49.31765, -123.063901 49.317653, -123.063901 49.317636, -123.063943 49.317637))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.065198 49.317403, -123.065198 49.317338, -123.065029 49.317339, -123.065029 49.317404, -123.065198 49.317403))","City of North Vancouver, British Columbia, Canada"
yes,,343,East 11th Street,,"POLYGON ((-123.064344 49.317646, -123.064348 49.317552, -123.064209 49.317549, -123.064205 49.317643, -123.064344 49.317646))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.065841 49.317525, -123.06584 49.317465, -123.065784 49.317466, -123.065785 49.317525, -123.065841 49.317525))","City of North Vancouver, British Columbia, Canada"
yes,,323,East 11th Street,,"POLYGON ((-123.065204 49.317626, -123.06521 49.317485, -123.065116 49.317484, -123.065117 49.317469, -123.065018 49.317468, -123.065009 49.317673, -123.065126 49.317675, -123.065128 49.317625, -123.065204 49.317626))","City of North Vancouver, British Columbia, Canada"
yes,,1033,Ridgeway Avenue,,"POLYGON ((-123.063428 49.317558, -123.063428 49.31749, -123.063321 49.31749, -123.063319 49.317659, -123.063429 49.31766, -123.063429 49.317646, -123.063524 49.317646, -123.063525 49.317558, -123.063428 49.317558))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.063661 49.317406, -123.063663 49.317336, -123.06359 49.317335, -123.063588 49.317405, -123.063661 49.317406))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.065627 49.317421, -123.065628 49.317339, -123.065434 49.317339, -123.065434 49.317402, -123.065512 49.317402, -123.065512 49.317421, -123.065627 49.317421))","City of North Vancouver, British Columbia, Canada"
yes,,364,Ridgeway Avenue,,"POLYGON ((-123.06338 49.318057, -123.063388 49.317954, -123.063341 49.317954, -123.063343 49.317923, -123.06325 49.317921, -123.063246 49.318031, -123.063292 49.318031, -123.06329 49.318055, -123.06338 49.318057))","City of North Vancouver, British Columbia, Canada"
yes,,358,East 11th Street,,"POLYGON ((-123.063498 49.317958, -123.063497 49.318065, -123.063574 49.318065, -123.063575 49.317959, -123.063498 49.317958))","City of North Vancouver, British Columbia, Canada"
yes,,342,East 11th Street,,"POLYGON ((-123.064125 49.317944, -123.064121 49.318073, -123.064243 49.318075, -123.064247 49.317946, -123.064125 49.317944))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064697 49.319325, -123.064696 49.319256, -123.064506 49.319257, -123.064507 49.319326, -123.064697 49.319325))","City of North Vancouver, British Columbia, Canada"
yes,,349,East 12th Street,,"POLYGON ((-123.063884 49.318583, -123.063884 49.318666, -123.064052 49.318667, -123.064053 49.318583, -123.063884 49.318583))","City of North Vancouver, British Columbia, Canada"
yes,,362,East 12th Street,,"POLYGON ((-123.063413 49.319142, -123.063415 49.318978, -123.063315 49.318977, -123.063315 49.318991, -123.063227 49.31899, -123.063225 49.319142, -123.063413 49.319142))","City of North Vancouver, British Columbia, Canada"
yes,,358,East 12th Street,,"POLYGON ((-123.06384 49.319113, -123.063839 49.318967, -123.063653 49.318967, -123.063653 49.319128, -123.0638 49.319128, -123.0638 49.319113, -123.06384 49.319113))","City of North Vancouver, British Columbia, Canada"
yes,,,Saint Andrew's Avenue,,"POLYGON ((-123.065958 49.318217, -123.065786 49.318214, -123.065785 49.318289, -123.065958 49.318291, -123.065958 49.318282, -123.065988 49.318282, -123.06599 49.318228, -123.065958 49.318228, -123.065958 49.318217))","City of North Vancouver, British Columbia, Canada"
yes,,216,East 12th Street,,"POLYGON ((-123.068521 49.319247, -123.068529 49.31904, -123.068255 49.319036, -123.068247 49.319242, -123.068521 49.319247))","City of North Vancouver, British Columbia, Canada"
yes,,307,East 12th Street,,"POLYGON ((-123.06572 49.31859, -123.065651 49.318588, -123.06565 49.318575, -123.065598 49.318574, -123.0656 49.318599, -123.065577 49.318598, -123.065578 49.318636, -123.065597 49.318637, -123.065596 49.318703, -123.065718 49.318706, -123.065718 49.318665, -123.065738 49.318665, -123.06574 49.318637, -123.06572 49.318637, -123.06572 49.31859))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064905 49.319326, -123.064906 49.319254, -123.06472 49.319252, -123.064719 49.319325, -123.064905 49.319326))","City of North Vancouver, British Columbia, Canada"
yes,,225,East 13th Street,,"POLYGON ((-123.068394 49.319707, -123.068394 49.31968, -123.068292 49.31968, -123.068292 49.319688, -123.068199 49.319687, -123.068197 49.319679, -123.068093 49.319678, -123.068093 49.319701, -123.068112 49.319701, -123.068112 49.319751, -123.068003 49.31975, -123.068 49.319757, -123.067948 49.319756, -123.067948 49.319731, -123.067961 49.319729, -123.067961 49.319676, -123.067944 49.319673, -123.067942 49.31953, -123.067957 49.319526, -123.067957 49.319467, -123.067944 49.319461, -123.067942 49.319435, -123.067991 49.319437, -123.067995 49.319446, -123.068103 49.319444, -123.068106 49.31949, -123.068199 49.319489, -123.068199 49.319473, -123.068292 49.319474, -123.068292 49.319491, -123.068384 49.319492, -123.068384 49.319447, -123.06849 49.31945, -123.068495 49.319444, -123.068535 49.319443, -123.068539 49.319474, -123.06853 49.319474, -123.06853 49.319535, -123.068545 49.319535, -123.068544 49.31968, -123.068532 49.319687, -123.068536 49.319736, -123.068549 49.319739, -123.068549 49.319763, -123.068493 49.319764, -123.068488 49.319756, -123.068376 49.319756, -123.068374 49.319708, -123.068394 49.319707))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064939 49.31819, -123.064939 49.318275, -123.065044 49.318275, -123.065044 49.318208, -123.064996 49.318209, -123.064996 49.31819, -123.064939 49.31819))","City of North Vancouver, British Columbia, Canada"
yes,,312,East 11th Street,,"POLYGON ((-123.065563 49.317961, -123.065559 49.318107, -123.06551 49.318106, -123.065511 49.318117, -123.065468 49.318117, -123.065467 49.318128, -123.065384 49.318125, -123.065382 49.318114, -123.065364 49.318114, -123.06537 49.317957, -123.065563 49.317961))","City of North Vancouver, British Columbia, Canada"
yes,,338,East 11th Street,,"POLYGON ((-123.064406 49.318049, -123.064404 49.317933, -123.06431 49.317934, -123.064311 49.31805, -123.064406 49.318049))","City of North Vancouver, British Columbia, Canada"
yes,,308,East 11th Street,,"POLYGON ((-123.065773 49.318051, -123.065775 49.31796, -123.065613 49.317959, -123.065612 49.318046, -123.065668 49.318046, -123.065667 49.318065, -123.065735 49.318065, -123.065735 49.31805, -123.065773 49.318051))","City of North Vancouver, British Columbia, Canada"
yes,,320,East 11th Street,,"POLYGON ((-123.064964 49.318045, -123.064967 49.317956, -123.065123 49.317958, -123.06512 49.318066, -123.06502 49.318065, -123.065021 49.318045, -123.064964 49.318045))","City of North Vancouver, British Columbia, Canada"
yes,,350,East 12th Street,,"POLYGON ((-123.064057 49.319147, -123.064057 49.318991, -123.063864 49.318991, -123.063864 49.319157, -123.06397 49.319157, -123.06397 49.319147, -123.064057 49.319147))","City of North Vancouver, British Columbia, Canada"
yes,,320,East 12th Street,,"POLYGON ((-123.065258 49.319002, -123.065142 49.319, -123.065138 49.319124, -123.065253 49.319126, -123.065258 49.319002))","City of North Vancouver, British Columbia, Canada"
yes,,302,East 12th Street,,"POLYGON ((-123.065781 49.319018, -123.065781 49.319108, -123.06586 49.319108, -123.065862 49.319123, -123.065919 49.319124, -123.065919 49.319105, -123.06594 49.319107, -123.065936 49.319017, -123.065882 49.319018, -123.065882 49.319006, -123.065828 49.319005, -123.065829 49.319019, -123.065781 49.319018))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.06552 49.318424, -123.06552 49.318358, -123.065399 49.318358, -123.065399 49.318424, -123.06552 49.318424))","City of North Vancouver, British Columbia, Canada"
yes,,352,East 11th Street,,"POLYGON ((-123.063867 49.318063, -123.06384 49.318063, -123.06384 49.318084, -123.063785 49.318084, -123.063784 49.318064, -123.063739 49.318064, -123.063734 49.317972, -123.063753 49.317972, -123.063753 49.31794, -123.063841 49.317941, -123.063844 49.31796, -123.063864 49.31796, -123.063867 49.318063))","City of North Vancouver, British Columbia, Canada"
yes,,316,East 11th Street,,"POLYGON ((-123.065286 49.318101, -123.065291 49.317941, -123.065206 49.31794, -123.065206 49.317954, -123.06517 49.317954, -123.065166 49.3181, -123.065286 49.318101))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.065756 49.31849, -123.065756 49.31841, -123.065694 49.318411, -123.065693 49.318384, -123.065585 49.318384, -123.065582 49.318504, -123.065687 49.318505, -123.065688 49.318489, -123.065756 49.31849))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.063776 49.318261, -123.063778 49.318197, -123.063667 49.318195, -123.063665 49.318259, -123.063776 49.318261))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.065556 49.318286, -123.065556 49.318217, -123.065499 49.318217, -123.065499 49.318286, -123.065556 49.318286))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.06538 49.318215, -123.065379 49.318285, -123.065463 49.318285, -123.065464 49.318216, -123.06538 49.318215))","City of North Vancouver, British Columbia, Canada"
yes,,303,Saint Andrew's Avenue,,"POLYGON ((-123.065947 49.318502, -123.065784 49.3185, -123.065778 49.318697, -123.065942 49.318699, -123.065947 49.318502))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064709 49.318219, -123.064665 49.318219, -123.064665 49.318203, -123.064552 49.318203, -123.064552 49.318274, -123.064709 49.318275, -123.064709 49.318219))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064425 49.31827, -123.064426 49.318207, -123.064309 49.318206, -123.064308 49.31827, -123.064425 49.31827))","City of North Vancouver, British Columbia, Canada"
yes,,1149,Ridgeway Avenue,,"POLYGON ((-123.06343 49.318636, -123.063279 49.318634, -123.063277 49.318702, -123.063428 49.318704, -123.06343 49.318636))","City of North Vancouver, British Columbia, Canada"
yes,,312,East 12th Street,,"POLYGON ((-123.065528 49.319121, -123.065526 49.319017, -123.065356 49.319018, -123.065357 49.319096, -123.065442 49.319095, -123.065443 49.319122, -123.065528 49.319121))","City of North Vancouver, British Columbia, Canada"
yes,,330,East 11th Street,,"POLYGON ((-123.064699 49.318102, -123.064701 49.317965, -123.064614 49.317964, -123.064614 49.317956, -123.064585 49.317955, -123.064585 49.317942, -123.064526 49.317942, -123.064526 49.317958, -123.064511 49.317958, -123.064509 49.318092, -123.064531 49.318092, -123.064531 49.318103, -123.064592 49.318103, -123.064592 49.318118, -123.064685 49.318118, -123.064685 49.318102, -123.064699 49.318102))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064712 49.318419, -123.064712 49.318353, -123.064568 49.318353, -123.064568 49.318418, -123.064712 49.318419))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.065913 49.319468, -123.065914 49.319405, -123.06576 49.319404, -123.06576 49.319467, -123.065913 49.319468))","City of North Vancouver, British Columbia, Canada"
yes,,323,East 12th Street,,"POLYGON ((-123.065115 49.31854, -123.065113 49.318683, -123.06503 49.318682, -123.065028 49.318666, -123.065008 49.318666, -123.065006 49.318675, -123.064925 49.318675, -123.06493 49.318529, -123.065028 49.318528, -123.065029 49.318539, -123.065115 49.31854))","City of North Vancouver, British Columbia, Canada"
yes,,1143,Ridgeway Avenue,,"POLYGON ((-123.063429 49.318387, -123.063283 49.318388, -123.063284 49.318458, -123.063429 49.318457, -123.063429 49.318387))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.063453 49.319232, -123.063454 49.31931, -123.063557 49.31931, -123.063556 49.319231, -123.063453 49.319232))","City of North Vancouver, British Columbia, Canada"
yes,,317,East 12th Street,,"POLYGON ((-123.065322 49.318623, -123.065322 49.318514, -123.065228 49.318514, -123.065228 49.318534, -123.065208 49.318534, -123.065208 49.318514, -123.06514 49.318515, -123.06514 49.318636, -123.065162 49.318636, -123.065163 49.318686, -123.065234 49.318686, -123.065234 49.318663, -123.065304 49.318662, -123.065304 49.318623, -123.065322 49.318623))","City of North Vancouver, British Columbia, Canada"
yes,,360,East 12th Street,,"POLYGON ((-123.063609 49.31898, -123.063499 49.318981, -123.0635 49.31902, -123.063474 49.31902, -123.063475 49.319108, -123.063611 49.319107, -123.063609 49.31898))","City of North Vancouver, British Columbia, Canada"
yes,,326,East 12th Street,,"POLYGON ((-123.065113 49.319019, -123.064931 49.319017, -123.064928 49.3191, -123.06511 49.319103, -123.065113 49.319019))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064292 49.319253, -123.064292 49.319318, -123.064482 49.319318, -123.064482 49.319252, -123.064292 49.319253))","City of North Vancouver, British Columbia, Canada"
yes,,1145,Ridgeway Avenue,,"POLYGON ((-123.063425 49.318474, -123.063276 49.318473, -123.063275 49.318541, -123.063424 49.318542, -123.063425 49.318474))","City of North Vancouver, British Columbia, Canada"
yes,,348,East 12th Street,,"POLYGON ((-123.064102 49.319065, -123.064064 49.319065, -123.064064 49.318962, -123.064241 49.318963, -123.06424 49.319069, -123.064215 49.319069, -123.064215 49.319106, -123.064175 49.319106, -123.064175 49.319127, -123.064102 49.319127, -123.064102 49.319065))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.0679 49.319488, -123.0679 49.319403, -123.067733 49.319404, -123.067396 49.319422, -123.067287 49.319427, -123.067073 49.319419, -123.06708 49.319485, -123.067246 49.319487, -123.067252 49.319537, -123.067729 49.319537, -123.067731 49.319504, -123.067834 49.319487, -123.0679 49.319488))","City of North Vancouver, British Columbia, Canada"
yes,,1141,Ridgeway Avenue,,"POLYGON ((-123.063565 49.318401, -123.063568 49.31835, -123.063503 49.31834, -123.063506 49.318328, -123.063338 49.318331, -123.063341 49.3184, -123.063565 49.318401))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.065767 49.319246, -123.065766 49.319323, -123.065898 49.319324, -123.065899 49.319246, -123.065767 49.319246))","City of North Vancouver, British Columbia, Canada"
yes,,306,East 12th Street,,"POLYGON ((-123.06574 49.319135, -123.065742 49.319033, -123.06572 49.319033, -123.065723 49.318995, -123.065637 49.318992, -123.065637 49.319007, -123.065556 49.319006, -123.065553 49.319159, -123.06562 49.319161, -123.065621 49.319144, -123.06566 49.319144, -123.06566 49.319136, -123.06574 49.319135))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.063855 49.319247, -123.063663 49.319246, -123.063662 49.319314, -123.063854 49.319315, -123.063855 49.319247))","City of North Vancouver, British Columbia, Canada"
yes,,332,East 12th Street,,"POLYGON ((-123.064897 49.319148, -123.064898 49.319064, -123.064916 49.319065, -123.064917 49.31899, -123.064711 49.318988, -123.064709 49.319138, -123.064836 49.319138, -123.064835 49.319148, -123.064897 49.319148))","City of North Vancouver, British Columbia, Canada"
yes,,226,East 12th Street,,"POLYGON ((-123.067791 49.319063, -123.067786 49.319154, -123.067966 49.319158, -123.06797 49.319078, -123.067889 49.319076, -123.06789 49.319065, -123.067791 49.319063))","City of North Vancouver, British Columbia, Canada"
yes,,275,East 13th Street,,"POLYGON ((-123.066538 49.319596, -123.066538 49.319445, -123.066327 49.319445, -123.066326 49.319731, -123.066768 49.319732, -123.066769 49.319424, -123.066678 49.319424, -123.066678 49.319596, -123.066538 49.319596))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.065931 49.318444, -123.065932 49.31836, -123.065787 49.318359, -123.065785 49.318443, -123.065931 49.318444))","City of North Vancouver, British Columbia, Canada"
